id,week_number,rental_count,cumulative_sum
154,0,10,10
154,1,1409,1419
154,2,1498,2917
154,3,1457,4374
154,4,1442,5816
154,5,1487,7303
154,6,1474,8777
154,7,1434,10211
154,8,1557,11768
154,9,1615,13383
154,10,1602,14985
154,11,1478,16463
154,12,1268,17731
154,13,1261,18992
154,14,1609,20601
154,15,1608,22209
154,16,1642,23851
154,17,1608,25459
154,18,1463,26922
154,19,1711,28633
154,20,1737,30370
154,21,1872,32242
154,22,1262,33504
154,23,1779,35283
154,24,1713,36996
154,25,1663,38659
154,26,1740,40399
154,27,1867,42266
154,28,1735,44001
154,29,1865,45866
154,30,1620,47486
154,31,1619,49105
154,32,1600,50705
154,33,1602,52307
154,34,1682,53989
154,35,352,54341
154,36,1040,55381
154,37,1781,57162
154,38,1548,58710
154,39,1707,60417
154,40,1799,62216
154,41,1724,63940
154,42,1789,65729
154,43,1724,67453
154,44,1749,69202
154,45,1506,70708
154,46,1628,72336
154,47,1685,74021
154,48,1594,75615
154,49,1646,77261
154,50,1564,78825
154,51,1405,80230
154,52,169,80399
